"index","Team","Points Scored","Points Allowed","Total Points","Point Differential"
"1543","Nets","89","102","191","-13"
"1544","Wizards","115","131","246","-16"
"1545","Bucks","131","115","246","16"
"1546","Cavaliers","98","111","209","-13"
"1547","Mavericks","111","98","209","13"
"1548","Heat","88","95","183","-7"
"1549","Pacers","95","88","183","7"
"1550","Spurs","113","108","221","5"
"1551","Pelicans","108","113","221","-5"
"1552","Warriors","115","101","216","14"
"1553","Lakers","101","115","216","-14"
"1554","Timberwolves","106","107","213","-1"
"1555","Nuggets","107","106","213","1"
"1556","Suns","112","118","230","-6"
"1557","Hawks","118","112","230","6"
"1558","Jazz","98","125","223","-27"
"1559","Rockets","125","98","223","27"
"1560","Kings","115","108","223","7"
"1561","76ers","108","115","223","-7"
"1562","Knicks","84","96","180","-12"
"1563","Grizzlies","96","84","180","12"
"1564","Celtics","134","129","263","5"
"1565","Thunder","129","134","263","-5"
"1566","Raptors","121","103","224","18"
"1567","Clippers","103","121","224","-18"
"1568","Pistons","129","103","232","26"
"1569","Nuggets","103","129","232","-26"
"1570","Wizards","129","137","266","-8"
"1571","Hawks","137","129","266","8"
"1572","Nets","94","113","207","-19"
"1573","Bucks","113","94","207","19"
"1574","Pelicans","107","109","216","-2"
"1575","Pacers","109","107","216","2"
"1576","Suns","110","118","228","-8"
"1577","Rockets","118","110","228","8"
"1578","Kings","127","112","239","15"
"1579","Spurs","112","127","239","-15"
"1580","Hornets","115","117","232","-2"
"1581","Clippers","117","115","232","2"
"1582","Cavaliers","96","103","199","-7"
"1583","Celtics","103","96","199","7"
"1584","Pacers","136","94","230","42"
"1585","Lakers","94","136","230","-42"
"1586","Knicks","92","105","197","-13"
"1587","Pistons","105","92","197","13"
"1588","76ers","107","119","226","-12"
"1589","Raptors","119","107","226","12"
"1590","Grizzlies","108","106","214","2"
"1591","Timberwolves","106","108","214","-2"
"1592","Thunder","132","122","254","10"
"1593","Magic","122","132","254","-10"
"1594","Trail Blazers","108","118","226","-10"
"1595","Heat","118","108","226","10"
"1596","Nets","135","130","265","5"
"1597","Nuggets","130","135","265","-5"
"1598","Bulls","120","125","245","-5"
"1599","Pelicans","125","120","245","5"
"1600","Bucks","148","129","277","19"
"1601","Wizards","129","148","277","-19"
"1602","Mavericks","99","93","192","6"
"1603","Hornets","93","99","192","-6"
"1604","Jazz","116","88","204","28"
"1605","Suns","88","116","204","-28"
"1606","Kings","101","127","228","-26"
"1607","Rockets","127","101","228","26"
"1608","Warriors","141","102","243","39"
"1609","Spurs","102","141","243","-39"
"1610","Pacers","116","92","208","24"
"1611","Clippers","92","116","208","-24"
"1612","Magic","122","112","234","10"
"1613","Timberwolves","112","122","234","-10"
"1614","Hawks","101","119","220","-18"
"1615","Raptors","119","101","220","18"
"1616","Celtics","128","129","257","-1"
"1617","Lakers","129","128","257","1"
"1618","Thunder","117","95","212","22"
"1619","Grizzlies","95","117","212","-22"
"1620","Trail Blazers","127","118","245","9"
"1621","Spurs","118","127","245","-9"
"1622","Pistons","120","103","223","17"
"1623","Knicks","103","120","223","-17"
"1624","76ers","117","110","227","7"
"1625","Nuggets","110","117","227","-7"
"1626","Wizards","119","106","225","13"
"1627","Cavaliers","106","119","225","-13"
"1628","Nets","106","125","231","-19"
"1629","Bulls","125","106","231","19"
"1630","Mavericks","107","122","229","-15"
"1631","Bucks","122","107","229","15"
"1632","Suns","107","117","224","-10"
"1633","Warriors","117","107","224","10"
"1634","Pelicans","122","117","239","5"
"1635","Timberwolves","117","122","239","-5"
"1636","Kings","102","96","198","6"
"1637","Heat","96","102","198","-6"
"1638","Jazz","125","105","230","20"
"1639","Spurs","105","125","230","-20"
"1640","Pacers","105","90","195","15"
"1641","Cavaliers","90","105","195","-15"
"1642","Hawks","120","129","249","-9"
"1643","Hornets","129","120","249","9"
"1644","Knicks","99","104","203","-5"
"1645","Raptors","104","99","203","5"
"1646","Celtics","112","123","235","-11"
"1647","Clippers","123","112","235","11"
"1648","Bulls","125","134","259","-9"
"1649","Wizards","134","125","259","9"
"1650","Grizzlies","99","90","189","9"
"1651","Pelicans","90","99","189","-9"
"1652","Rockets","112","117","229","-5"
"1653","Thunder","117","112","229","5"
"1654","Bucks","83","103","186","-20"
"1655","Magic","103","83","186","20"
"1656","Mavericks","102","101","203","1"
"1657","Trail Blazers","101","102","203","-1"
"1658","76ers","143","120","263","23"
"1659","Lakers","120","143","263","-23"
"1660","Kings","117","104","221","13"
"1661","Suns","104","117","221","-13"
"1662","Hawks","108","124","232","-16"
"1663","Magic","124","108","232","16"
"1664","Warriors","120","118","238","2"
"1665","Heat","118","120","238","-2"
"1666","Cavaliers","107","104","211","3"
"1667","Knicks","104","107","211","-3"
"1668","Pistons","121","112","233","9"
"1669","Wizards","112","121","233","-9"
"1670","Pacers","99","90","189","9"
"1671","Hornets","90","99","189","-9"
"1672","Raptors","127","125","252","2"
"1673","Nets","125","127","252","-2"
"1674","Bulls","99","112","211","-13"
"1675","Bucks","112","99","211","13"
"1676","Rockets","120","104","224","16"
"1677","Mavericks","104","120","224","-16"
"1678","Timberwolves","130","120","250","10"
"1679","Clippers","120","130","250","-10"
"1680","Thunder","120","111","231","9"
"1681","Trail Blazers","111","120","231","-9"
"1682","Nuggets","103","87","190","16"
"1683","Heat","87","103","190","-16"
"1684","Hawks","117","113","230","4"
"1685","Lakers","113","117","230","-4"
"1686","76ers","109","112","221","-3"
"1687","Celtics","112","109","221","3"
"1688","Grizzlies","107","108","215","-1"
"1689","Spurs","108","107","215","1"
"1690","Pelicans","88","118","206","-30"
"1691","Magic","118","88","206","30"
"1692","Warriors","115","108","223","7"
"1693","Jazz","108","115","223","-7"
"1694","Cavaliers","139","148","287","-9"
"1695","Nets","148","139","287","9"
"1696","Pacers","97","106","203","-9"
"1697","Bucks","106","97","203","9"
"1698","Celtics","118","110","228","8"
"1699","Pistons","110","118","228","-8"
"1700","Knicks","111","126","237","-15"
"1701","76ers","126","111","237","15"
"1702","Raptors","129","120","249","9"
"1703","Wizards","120","129","249","-9"
"1704","Bulls","122","110","232","12"
"1705","Grizzlies","110","122","232","-12"
"1706","Timberwolves","121","111","232","10"
"1707","Rockets","111","121","232","-10"
"1708","Mavericks","101","112","213","-11"
"1709","Heat","112","101","213","11"
"1710","Nuggets","120","118","238","2"
"1711","Kings","118","120","238","-2"
"1712","Trail Blazers","129","107","236","22"
"1713","Warriors","107","129","236","-22"
"1714","Clippers","134","107","241","27"
"1715","Suns","107","134","241","-27"
"1716","Magic","127","89","216","38"
"1717","Hornets","89","127","216","-38"
"1718","Hawks","91","106","197","-15"
"1719","Knicks","106","91","197","15"
"1720","Pelicans","131","122","253","9"
"1721","Thunder","122","131","253","-9"
