"index","Team","Points Scored","Points Allowed","Total Points","Point Differential"
"380","Heat","114","124","238","-10"
"381","76ers","124","114","238","10"
"382","Raptors","110","126","236","-16"
"383","Pelicans","126","110","236","16"
"384","Bulls","98","103","201","-5"
"385","Mavericks","103","98","201","5"
"386","Grizzlies","88","96","184","-8"
"387","Jazz","96","88","184","8"
"388","Timberwolves","120","113","233","7"
"389","Nets","113","120","233","-7"
"390","Thunder","118","101","219","17"
"391","Suns","101","118","219","-17"
"392","Kings","104","99","203","5"
"393","Spurs","99","104","203","-5"
"394","Clippers","121","116","237","5"
"395","Warriors","116","121","237","-5"
"396","Cavaliers","113","89","202","24"
"397","Hornets","89","113","202","-24"
"398","Nuggets","99","109","208","-10"
"399","Rockets","109","99","208","10"
"400","Warriors","110","103","213","7"
"401","Hawks","103","110","213","-7"
"402","Magic","111","106","217","5"
"403","76ers","106","111","217","-5"
"404","Wizards","119","95","214","24"
"405","Cavaliers","95","119","214","-24"
"406","Celtics","111","82","193","29"
"407","Bulls","82","111","193","-29"
"408","Nets","107","120","227","-13"
"409","Heat","120","107","227","13"
"410","Raptors","104","106","210","-2"
"411","Pistons","106","104","210","2"
"412","Bucks","113","116","229","-3"
"413","Grizzlies","116","113","229","3"
"414","Timberwolves","107","100","207","7"
"415","Pelicans","100","107","207","-7"
"416","Thunder","128","103","231","25"
"417","Knicks","103","128","231","-25"
"418","Mavericks","118","68","186","50"
"419","Jazz","68","118","186","-50"
"420","Suns","116","96","212","20"
"421","Spurs","96","116","212","-20"
"422","Lakers","126","117","243","9"
"423","Trail Blazers","117","126","243","-9"
"424","Rockets","107","86","193","21"
"425","Warriors","86","107","193","-21"
"426","Nuggets","138","93","231","45"
"427","Hawks","93","138","231","-45"
"428","Clippers","116","111","227","5"
"429","Spurs","111","116","227","-5"
"430","Celtics","123","116","239","7"
"431","Raptors","116","123","239","-7"
"432","Pacers","99","91","190","8"
"433","Heat","91","99","190","-8"
"434","76ers","113","107","220","6"
"435","Jazz","107","113","220","-6"
"436","Wizards","104","115","219","-11"
"437","Nets","115","104","219","11"
"438","Grizzlies","112","104","216","8"
"439","Kings","104","112","216","-8"
"440","Timberwolves","112","96","208","16"
"441","Trail Blazers","96","112","208","-16"
"442","Pelicans","129","124","253","5"
"443","Knicks","124","129","253","-5"
"444","Bucks","123","104","227","19"
"445","Bulls","104","123","227","-19"
"446","Nets","119","127","246","-8"
"447","Clippers","127","119","246","8"
"448","Hornets","119","122","241","-3"
"449","76ers","122","119","241","3"
"450","Pacers","97","89","186","8"
"451","Hawks","89","97","186","-8"
"452","Magic","130","117","247","13"
"453","Lakers","117","130","247","-13"
"454","Pelicans","125","115","240","10"
"455","Nuggets","115","125","240","-10"
"456","Celtics","86","98","184","-12"
"457","Jazz","98","86","184","12"
"458","Bulls","83","122","205","-39"
"459","Raptors","122","83","205","39"
"460","Rockets","132","112","244","20"
"461","Kings","112","132","244","-20"
"462","Mavericks","112","109","221","3"
"463","Warriors","109","112","221","-3"
"464","Suns","100","110","210","-10"
"465","Thunder","110","100","210","10"
"466","Timberwolves","87","100","187","-13"
"467","Grizzlies","100","87","187","13"
"468","Heat","97","113","210","-16"
"469","Lakers","113","97","210","16"
"470","Magic","131","117","248","14"
"471","Knicks","117","131","248","-14"
"472","Wizards","109","119","228","-10"
"473","Trail Blazers","119","109","228","10"
"474","Spurs","104","92","196","12"
"475","Warriors","92","104","196","-12"
"476","Hornets","117","112","229","5"
"477","Celtics","112","117","229","-5"
"478","Pistons","113","102","215","11"
"479","Cavaliers","102","113","215","-11"
"480","Pacers","121","94","215","27"
"481","Jazz","94","121","215","-27"
"482","76ers","119","114","233","5"
"483","Suns","114","119","233","-5"
"484","Hawks","119","127","246","-8"
"485","Clippers","127","119","246","8"
"486","Grizzlies","98","88","186","10"
"487","Mavericks","88","98","186","-10"
"488","Bucks","104","98","202","6"
"489","Nuggets","98","104","202","-6"
"490","Pelicans","140","126","266","14"
"491","Spurs","126","140","266","-14"
"492","Kings","117","113","230","4"
"493","Thunder","113","117","230","-4"
"494","Magic","91","93","184","-2"
"495","Raptors","93","91","184","2"
"496","Wizards","125","118","243","7"
"497","Clippers","118","125","243","-7"
"498","Heat","92","104","196","-12"
"499","Nets","104","92","196","12"
"500","Knicks","114","118","232","-4"
"501","Trail Blazers","118","114","232","4"
"502","Hornets","127","109","236","18"
"503","Pacers","109","127","236","-18"
"504","76ers","121","120","241","1"
"505","Pelicans","120","121","241","-1"
"506","Hawks","108","124","232","-16"
"507","Raptors","124","108","232","16"
"508","Celtics","109","117","226","-8"
"509","Knicks","117","109","226","8"
"510","Cavaliers","105","109","214","-4"
"511","Lakers","109","105","214","4"
"512","Bulls","124","116","240","8"
"513","Suns","116","124","240","-8"
"514","Rockets","126","124","250","2"
"515","Pistons","124","126","250","-2"
"516","Bucks","143","100","243","43"
"517","Trail Blazers","100","143","243","-43"
"518","Timberwolves","101","103","204","-2"
"519","Nuggets","103","101","204","2"
"520","Mavericks","119","113","232","6"
"521","Nets","113","119","232","-6"
"522","Spurs","103","104","207","-1"
"523","Grizzlies","104","103","207","1"
"524","Jazz","110","119","229","-9"
"525","Kings","119","110","229","9"
"526","Warriors","95","123","218","-28"
"527","Thunder","123","95","218","28"
"528","Nets","102","112","214","-10"
"529","Timberwolves","112","102","214","10"
"530","Clippers","112","107","219","5"
"531","Grizzlies","107","112","219","-5"
"532","Pistons","116","111","227","5"
"533","Rockets","111","116","227","-5"
"534","Hawks","96","114","210","-18"
"535","Celtics","114","96","210","18"
"536","Knicks","114","109","223","5"
"537","Pelicans","109","114","223","-5"
"538","76ers","112","121","233","-9"
"539","Cavaliers","121","112","233","9"
"540","Raptors","125","107","232","18"
"541","Wizards","107","125","232","-18"
"542","Pacers","100","111","211","-11"
"543","Spurs","111","100","211","11"
"544","Bulls","96","103","199","-7"
"545","Heat","103","96","199","7"
"546","Thunder","109","104","213","5"
"547","Hornets","104","109","213","-5"
"548","Bucks","114","116","230","-2"
"549","Suns","116","114","230","2"
"550","Nuggets","112","87","199","25"
"551","Magic","87","112","199","-25"
"552","Warriors","125","97","222","28"
"553","Trail Blazers","97","125","222","-28"
"554","Lakers","90","83","173","7"
"555","Jazz","83","90","173","-7"
"556","Cavaliers","117","108","225","9"
"557","Rockets","108","117","225","-9"
"558","Wizards","124","114","238","10"
"559","Pelicans","114","124","238","-10"
"560","Timberwolves","111","96","207","15"
"561","Bulls","96","111","207","-15"
"562","Thunder","98","105","203","-7"
"563","Nuggets","105","98","203","7"
"564","Mavericks","113","104","217","9"
"565","Celtics","104","113","217","-9"
"566","Bucks","135","129","264","6"
"567","Spurs","129","135","264","-6"
"568","Warriors","117","116","233","1"
"569","Kings","116","117","233","-1"
"570","Lakers","104","108","212","-4"
"571","Magic","108","104","212","4"
"572","Pistons","118","107","225","11"
"573","Suns","107","118","225","-11"
"574","Hawks","124","123","247","1"
"575","Hornets","123","124","247","-1"
"576","Nets","125","127","252","-2"
"577","76ers","127","125","252","2"
"578","Raptors","125","115","240","10"
"579","Heat","115","125","240","-10"
"580","Grizzlies","98","103","201","-5"
"581","Knicks","103","98","201","5"
"582","Kings","112","133","245","-21"
"583","Jazz","133","112","245","21"
"584","Trail Blazers","100","104","204","-4"
"585","Clippers","104","100","204","4"
"586","Hornets","110","107","217","3"
"587","Bucks","107","110","217","-3"
"588","Cavaliers","95","102","197","-7"
"589","Timberwolves","102","95","197","7"
"590","Wizards","135","131","266","4"
"591","Rockets","131","135","266","-4"
"592","Bulls","107","108","215","-1"
"593","Spurs","108","107","215","1"
"594","Pelicans","107","124","231","-17"
"595","Celtics","124","107","231","17"
"596","Jazz","88","121","209","-33"
"597","Pacers","121","88","209","33"
"598","Warriors","116","110","226","6"
"599","Magic","110","116","226","-6"
"600","Pistons","115","108","223","7"
"601","Knicks","108","115","223","-7"
"602","Heat","113","115","228","-2"
"603","Hawks","115","113","228","2"
"604","Grizzlies","114","122","236","-8"
"605","Raptors","122","114","236","8"
"606","Nuggets","117","85","202","32"
"607","Lakers","85","117","202","-32"
"608","Suns","104","109","213","-5"
"609","Pacers","109","104","213","5"
"610","Hornets","108","94","202","14"
"611","Hawks","94","108","202","-14"
"612","76ers","117","91","208","26"
"613","Knicks","91","117","208","-26"
"614","Nets","91","101","192","-10"
"615","Jazz","101","91","192","10"
"616","Rockets","108","128","236","-20"
"617","Mavericks","128","108","236","20"
"618","Bucks","116","113","229","3"
"619","Bulls","113","116","229","-3"
"620","Timberwolves","128","89","217","39"
"621","Spurs","89","128","217","-39"
"622","Pelicans","125","104","229","21"
"623","Wizards","104","125","229","-21"
"624","Thunder","100","83","183","17"
"625","Cavaliers","83","100","183","-17"
"626","Trail Blazers","115","112","227","3"
"627","Magic","112","115","227","-3"
"628","Clippers","115","99","214","16"
"629","Suns","99","115","214","-16"
"630","Raptors","131","128","259","3"
"631","Warriors","128","131","259","-3"
"632","Lakers","104","96","200","8"
"633","Pacers","96","104","200","-8"
"634","Kings","121","133","254","-12"
"635","Clippers","133","121","254","12"
"636","Celtics","128","95","223","33"
"637","Cavaliers","95","128","223","-33"
"638","Hornets","111","119","230","-8"
"639","Jazz","119","111","230","8"
"640","Pistons","107","88","195","19"
"641","Bulls","88","107","195","-19"
"642","76ers","123","98","221","25"
"643","Wizards","98","123","221","-25"
"644","Nets","125","131","256","-6"
"645","Grizzlies","131","125","256","6"
"646","Heat","106","101","207","5"
"647","Pelicans","101","106","207","-5"
"648","Thunder","124","109","233","15"
"649","Hawks","109","124","233","-15"
"650","Spurs","105","136","241","-31"
"651","Rockets","136","105","241","31"
"652","Suns","85","99","184","-14"
"653","Magic","99","85","184","14"
"654","Lakers","114","103","217","11"
"655","Mavericks","103","114","217","-11"
"656","Trail Blazers","112","113","225","-1"
"657","Nuggets","113","112","225","1"
"658","Knicks","136","134","270","2"
"659","Bucks","134","136","270","-2"
"660","Pistons","111","102","213","9"
"661","Warriors","102","111","213","-9"
"662","Wizards","102","88","190","14"
"663","Nets","88","102","190","-14"
"664","Cavaliers","95","106","201","-11"
"665","Raptors","106","95","201","11"
"666","Rockets","121","105","226","16"
"667","Bulls","105","121","226","-16"
"668","Timberwolves","109","118","227","-9"
"669","Celtics","118","109","227","9"
"670","Kings","111","110","221","1"
"671","Pacers","110","111","221","-1"
"672","Lakers","120","96","216","24"
"673","Suns","96","120","216","-24"
"674","Hornets","109","119","228","-10"
"675","Pelicans","119","109","228","10"
"676","Heat","102","100","202","2"
"677","Jazz","100","102","202","-2"
"678","76ers","103","95","198","8"
"679","Grizzlies","95","103","198","-8"
"680","Mavericks","114","110","224","4"
"681","Clippers","110","114","224","-4"
"682","Spurs","131","118","249","13"
"683","Trail Blazers","118","131","249","-13"
"684","Pistons","83","110","193","-27"
"685","Thunder","110","83","193","27"
"686","Hawks","111","128","239","-17"
"687","Warriors","128","111","239","17"
"688","Nets","97","99","196","-2"
"689","Cavaliers","99","97","196","2"
"690","Knicks","107","110","217","-3"
"691","Wizards","110","107","217","3"
"692","Raptors","103","106","209","-3"
"693","Nuggets","106","103","209","3"
"694","Timberwolves","103","91","194","12"
"695","Rockets","91","103","194","-12"
"696","Pelicans","126","129","255","-3"
"697","Clippers","129","126","255","3"
"698","Pacers","96","90","186","6"
"699","Bulls","90","96","186","-6"
"700","Heat","90","105","195","-15"
"701","Magic","105","90","195","15"
"702","Mavericks","111","102","213","9"
"703","Trail Blazers","102","111","213","-9"
"704","Suns","105","122","227","-17"
"705","Kings","122","105","227","17"
"706","Jazz","139","105","244","34"
"707","Spurs","105","139","244","-34"
"708","Cavaliers","105","129","234","-24"
"709","Warriors","129","105","234","24"
"710","Magic","118","124","242","-6"
"711","Nuggets","124","118","242","6"
"712","Hawks","117","131","248","-14"
"713","Wizards","131","117","248","14"
"714","Nets","112","114","226","-2"
"715","Thunder","114","112","226","2"
"716","Raptors","113","102","215","11"
"717","76ers","102","113","215","-11"
"718","Grizzlies","96","86","182","10"
"719","Clippers","86","96","182","-10"
"720","Bucks","115","92","207","23"
"721","Pistons","92","115","207","-23"
"722","Timberwolves","121","104","225","17"
"723","Hornets","104","121","225","-17"
"724","Pelicans","132","106","238","26"
"725","Mavericks","106","132","238","-26"
"726","Lakers","121","113","234","8"
"727","Spurs","113","121","234","-8"
"728","Celtics","128","100","228","28"
"729","Knicks","100","128","228","-28"
"730","Trail Blazers","108","86","194","22"
"731","Suns","86","108","194","-22"
"732","Jazz","118","91","209","27"
"733","Rockets","91","118","209","-27"
"734","Hornets","113","107","220","6"
"735","Nuggets","107","113","220","-6"
"736","Pistons","111","117","228","-6"
"737","76ers","117","111","228","6"
"738","Magic","90","112","202","-22"
"739","Pacers","112","90","202","22"
"740","Nets","106","105","211","1"
"741","Raptors","105","106","211","-1"
"742","Cavaliers","110","129","239","-19"
"743","Kings","129","110","239","19"
"744","Bulls","114","112","226","2"
"745","Thunder","112","114","226","-2"
"746","Pelicans","103","107","210","-4"
"747","Grizzlies","107","103","210","4"
"748","Spurs","133","120","253","13"
"749","Lakers","120","133","253","-13"
"750","Suns","98","115","213","-17"
"751","Heat","115","98","213","17"
"752","Bucks","95","105","200","-10"
"753","Warriors","105","95","200","10"
"754","Mavericks","107","104","211","3"
"755","Rockets","104","107","211","-3"
"756","Pacers","107","97","204","10"
"757","Kings","97","107","204","-10"
"758","Hawks","106","98","204","8"
"759","Nuggets","98","106","204","-8"
"760","Cavaliers","116","101","217","15"
"761","Wizards","101","116","217","-15"
"762","Knicks","104","112","216","-8"
"763","Nets","112","104","216","8"
"764","Bulls","77","133","210","-56"
"765","Celtics","133","77","210","56"
"766","Grizzlies","88","111","199","-23"
"767","Lakers","111","88","199","23"
"768","Trail Blazers","113","105","218","8"
"769","Timberwolves","105","113","218","-8"
"770","Clippers","98","121","219","-23"
"771","Heat","121","98","219","23"
"772","Pistons","108","116","224","-8"
"773","Pelicans","116","108","224","8"
"774","Raptors","99","104","203","-5"
"775","Bucks","104","99","203","5"
"776","Spurs","110","97","207","13"
"777","Jazz","97","110","207","-13"
"778","Knicks","107","119","226","-12"
"779","Hornets","119","107","226","12"
"780","Pacers","109","101","210","8"
"781","Wizards","101","109","210","-8"
"782","76ers","116","102","218","14"
"783","Pistons","102","116","218","-14"
"784","Celtics","113","100","213","13"
