index,Team,Points Scored,Points Allowed,Win/Loss,FG%,3p FG%,Ft%,Rebounds,Offensive Rebounds,Assists,Steals,Blocks,Turnovers:,Fastbreak Points,Points in Paint,Fouls
1475,Raptors,123,120,W,44.6,50,84.2,52,8,24,6,5,8,23,34,27
1476,Rockets,103,98,W,47.5,33.3,71.4,47,3,20,8,7,13,17,44,19
1477,Magic,98,103,L,40.2,28.6,58.8,66,18,23,10,4,15,5,44,18
1478,Timberwolves,111,125,L,48.1,47.2,87,40,5,22,7,4,16,7,24,22
1479,Jazz,125,111,W,53.5,38.5,72,50,6,30,8,5,9,8,50,17
1480,Spurs,132,119,W,57,47.1,85.7,56,7,31,6,4,16,24,44,20
1481,Wizards,119,132,L,44.9,39.1,72.4,41,8,32,11,0,9,19,32,18
1482,Knicks,97,106,L,42.9,26.9,75,45,7,22,13,3,11,13,46,20
1483,Heat,106,97,W,46.4,36.4,88.9,56,8,26,6,5,16,7,48,24
1484,Lakers,116,102,W,52.8,43.5,66.7,54,14,28,8,10,18,10,70,30
1485,Suns,102,116,L,40,26.9,84.4,50,15,19,8,9,16,8,46,20
1486,Hornets,101,92,W,41.5,32.4,75,62,13,25,4,10,10,6,50,20
1487,Knicks,92,101,L,40,30.4,65.4,57,8,19,6,6,10,18,42,15
