index,Team,Points Scored,Points Allowed,Win/Loss,FG%,3p FG%,Ft%,Rebounds,Offensive Rebounds,Assists,Steals,Blocks,Turnovers:,Fastbreak Points,Points in Paint,Fouls
0,Celtics,105,87,W,43.3,29.7,71.4,64,12,21,7,5,15,6,34,20
1,76ers,87,105,L,39.1,19.2,60.9,57,6,18,8,5,16,16,50,20
2,Warriors,108,100,W,44.2,26.9,94.4,66,17,28,7,7,21,13,58,29
3,Thunder,100,108,L,36.3,27,64.9,59,16,21,12,6,15,10,34,21
4,Rockets,112,131,L,42.4,33.3,75,49,8,21,8,7,12,14,44,22
5,Pelicans,131,112,W,53.1,40,77.3,61,14,36,8,3,12,19,76,25
6,Suns,121,100,W,54.3,55.9,87.5,48,6,35,5,2,12,16,36,22
7,Mavericks,100,121,L,43.2,30.3,70,47,10,28,7,5,9,10,54,16
8,76ers,127,108,W,47.3,33.3,90,64,11,30,10,8,13,20,46,17
9,Bulls,108,127,L,43.6,33.3,75,48,5,28,4,6,12,3,46,23
10,Trail Blazers,128,119,W,44,35.1,93.1,60,14,21,9,10,17,12,56,26
11,Lakers,119,128,L,48.4,23.3,75.9,53,8,23,10,6,15,34,70,26
12,Raptors,113,101,W,46.7,37.1,73.7,57,12,24,3,3,13,14,46,19
13,Celtics,101,113,L,40.4,38.9,70,59,16,29,4,6,16,18,34,27
14,Jazz,123,124,L,44.9,41.3,82.8,48,10,24,11,4,17,18,36,19
15,Warriors,124,123,W,56.3,52.6,88.9,46,8,27,10,6,16,20,46,23
16,Wizards,113,117,L,41.6,33.3,81.3,50,9,20,11,9,11,34,38,27
17,Raptors,117,113,W,44.3,34.5,80.6,64,14,21,5,5,17,4,48,29
18,Lakers,115,124,L,48,25,61.1,52,9,28,8,10,11,22,68,21
19,Rockets,124,115,W,45.8,38.1,66.7,69,13,22,7,4,18,17,52,21
20,Clippers,115,112,W,47.2,20,100,54,12,22,8,7,13,13,64,16
21,Rockets,112,115,L,48.3,42.9,73.3,43,6,28,6,6,12,15,54,23
22,Hornets,112,113,L,44.6,42.1,63.6,45,9,21,8,9,11,11,46,19
23,Bucks,113,112,W,49.4,41.2,75,62,11,26,5,4,21,12,56,25
24,Pistons,103,100,W,42.4,25,86.4,54,14,21,5,5,17,12,56,20
25,Nets,100,103,L,48.8,18.5,68.2,51,5,28,9,5,19,8,66,23
26,Pacers,111,83,W,56.6,38.5,53.8,67,13,29,2,7,20,20,60,24
27,Grizzlies,83,111,L,29.8,34.5,82.1,39,7,16,11,3,10,6,16,18
28,Magic,104,101,W,41.5,28,61.3,67,14,20,7,7,12,7,46,25
29,Heat,101,104,L,39.2,27.3,72.7,65,14,16,4,5,17,8,50,28
30,Knicks,126,107,W,45.5,36.4,77.4,60,10,21,12,6,16,11,50,23
31,Hawks,107,126,L,45.6,27.8,83.3,53,7,19,7,3,24,11,60,30
32,Raptors,116,104,W,48.9,42.4,60,51,8,21,6,7,10,22,56,29
33,Cavaliers,104,116,L,40,36.8,74.4,65,14,17,4,0,16,18,40,25
34,Spurs,112,108,W,43,44,72.4,64,19,22,3,4,12,8,32,22
35,Timberwolves,108,112,L,42.9,31.6,88.9,52,14,20,9,2,11,16,54,27
36,Kings,117,123,L,51.6,36.8,66.7,44,5,17,8,3,9,17,62,27
37,Jazz,123,117,W,51.9,48.1,73.7,56,5,21,8,4,17,14,54,19
38,Clippers,98,107,L,39.8,28.6,83.3,53,9,21,3,9,14,8,48,32
39,Nuggets,107,98,W,37.9,33.3,78.6,67,14,20,6,9,11,12,42,22
40,Wizards,112,113,L,46.9,26.9,74.4,52,7,19,7,15,14,20,52,31
41,Heat,113,112,W,39.2,34.3,73.5,69,22,25,6,5,19,14,46,26
42,Magic,88,120,L,38.3,19.4,71.4,50,12,18,8,7,18,7,44,16
43,Hornets,120,88,W,46.7,44.7,85,64,12,32,6,4,16,11,42,17
44,Nets,107,105,W,49.3,40,87.5,60,12,22,2,6,22,7,48,23
45,Knicks,105,107,L,40.2,32.1,90,41,12,14,10,1,3,12,40,19
46,Grizzlies,131,117,W,54.3,50,69.8,55,7,32,9,4,17,27,52,29
47,Hawks,117,131,L,49.4,46.7,58.3,52,11,27,9,5,19,27,50,31
48,Timberwolves,131,123,W,50.6,40,94.3,48,9,28,9,7,14,18,56,21
49,Cavaliers,123,131,L,48.4,34.8,86.2,49,13,26,5,2,14,15,58,24
50,Pelicans,149,129,W,58.9,51.6,63.6,60,12,35,6,4,16,28,76,25
51,Kings,129,149,L,52.1,40,73.1,44,9,24,6,2,13,23,70,26
52,Bucks,118,101,W,47.3,37,61.9,61,11,27,9,8,17,20,54,26
53,Pacers,101,118,L,43.7,33.3,70.4,53,9,14,7,3,17,10,42,25
54,Clippers,108,92,W,43.2,42.3,75,60,10,21,3,3,15,14,40,24
55,Thunder,92,108,L,35.8,21.2,73.9,62,15,18,5,4,13,10,40,29
56,Pacers,132,112,W,55.4,66.7,63.6,50,10,21,12,5,11,24,58,18
57,Nets,112,132,L,47.7,43.2,63.6,52,9,25,6,6,20,19,40,18
58,Knicks,101,103,L,41.4,34.3,63,60,11,23,8,1,16,11,40,25
59,Celtics,103,101,W,40.2,36,84.8,55,11,21,8,2,15,9,36,26
60,76ers,116,115,W,47.9,51.5,90,46,13,33,8,3,10,20,40,21
61,Magic,115,116,L,45.6,55.2,77.3,58,14,31,7,7,16,10,42,15
62,Heat,112,113,L,46.1,32.4,70.4,67,12,21,4,11,16,7,42,27
63,Hornets,113,112,W,44.1,38.1,65.2,49,12,23,6,12,12,13,44,27
64,Bulls,116,118,L,50.6,33.3,80.8,52,5,26,4,3,11,10,58,20
65,Pistons,118,116,W,40.6,45,78.3,61,18,21,4,4,10,9,40,23
66,Mavericks,140,136,W,50,34,73.5,56,15,29,8,8,16,22,52,28
67,Timberwolves,136,140,L,52.4,51.9,85,48,6,23,10,3,17,29,40,30
68,Nuggets,119,91,W,50.6,32.1,82.8,61,9,28,12,6,18,33,62,31
69,Suns,91,119,L,37.7,28.2,62.9,47,10,20,6,4,19,9,30,26
70,Trail Blazers,121,108,W,53.6,46.9,84.2,54,8,24,5,3,12,8,44,14
71,Spurs,108,121,L,42,43.3,78.6,49,15,29,5,4,6,5,38,17
72,Cavaliers,111,133,L,46.5,37,64.3,59,15,23,5,2,18,10,44,25
73,Hawks,133,111,W,49,46.8,78.9,53,9,32,9,7,12,11,52,21
74,Thunder,120,131,L,44.2,23.1,63.3,63,18,23,11,9,18,19,68,29
75,Kings,131,120,W,54.9,45.5,75,54,12,28,11,7,20,18,68,26
76,Nuggets,100,98,W,40.7,18.8,57.1,66,13,21,11,4,10,17,48,22
77,Warriors,98,100,L,45.6,24.1,79.2,51,6,22,4,6,19,11,44,29
78,Celtics,90,93,L,40.7,22.5,77.8,57,9,21,6,3,12,23,48,15
79,Magic,93,90,W,40.9,28.6,70,57,8,28,6,2,9,6,42,15
80,Raptors,127,106,W,57.5,38.5,85.7,53,5,36,10,8,15,31,56,21
81,Hornets,106,127,L,42.3,32.1,83.3,45,14,21,5,5,12,5,44,14
82,Bucks,124,113,W,46.9,42.5,70.8,60,19,27,5,9,15,5,52,18
83,Knicks,113,124,L,45.5,34.5,86.7,54,11,22,6,2,12,7,50,21
84,Timberwolves,101,91,W,42.4,21.2,91.7,59,8,24,9,12,15,26,48,17
85,Pacers,91,101,L,39.1,30.8,68.8,53,12,18,6,6,15,8,44,24
86,Mavericks,115,109,W,43,31.9,95.2,54,13,25,8,2,16,12,46,16
87,Bulls,109,115,L,51.2,56.5,66.7,46,7,18,6,4,19,11,38,29
88,Jazz,84,92,L,35.4,25,78.3,59,10,18,6,6,15,11,38,22
89,Grizzlies,92,84,W,36.9,32.1,80.8,57,7,18,10,2,11,4,36,22
90,Trail Blazers,124,125,L,39.8,28.2,87.1,83,17,22,6,4,20,14,50,22
91,Wizards,125,124,W,41.8,40.5,69.2,58,12,23,6,7,10,12,52,27
92,Warriors,123,103,W,51.1,37.8,73.1,48,7,35,12,4,14,34,48,24
93,Suns,103,123,L,45.3,26.5,88.9,51,12,24,8,1,21,6,46,21
94,Lakers,142,143,L,51.4,35.9,69.2,63,13,33,5,6,15,41,74,29
95,Spurs,143,142,W,51.5,53.6,73.7,54,10,32,9,3,9,7,50,26
96,Pistons,133,132,W,47.2,36.4,70.4,63,12,22,4,4,8,11,64,24
97,76ers,132,133,L,50,32.6,71.4,59,8,32,3,8,11,11,46,24
98,Pelicans,116,109,W,43,25,75,59,12,22,12,8,8,16,64,24
99,Clippers,109,116,L,47.1,25,81.5,55,9,18,5,4,17,16,60,26
100,Nuggets,126,112,W,51.5,36.7,86.7,56,15,31,11,3,12,18,72,22
101,Kings,112,126,L,52.3,41.9,45,46,9,29,7,6,16,19,54,17
102,Hawks,111,104,W,40.7,39.5,71,65,10,28,6,6,15,21,36,26
103,Mavericks,104,111,L,41.8,30,61.5,61,9,25,7,9,17,22,40,27
104,Cavaliers,86,102,L,38.2,16.7,93.8,57,16,18,5,2,15,10,34,19
105,Nets,102,86,W,43.7,41.2,80,51,8,23,8,1,14,2,46,16
106,Heat,110,87,W,47.6,44.8,67.9,62,4,24,7,5,13,18,46,15
107,Knicks,87,110,L,36.3,36.4,64.3,53,10,20,5,3,12,11,34,23
108,Raptors,112,105,W,51.7,34.4,75,50,11,26,9,8,17,15,56,18
109,Timberwolves,105,112,L,41.7,50,62.5,58,16,25,10,5,16,10,38,17
110,Bulls,112,110,W,48.1,34.5,80,54,9,21,4,5,14,16,50,24
111,Hornets,110,112,L,43.5,28.6,89.7,44,8,23,5,5,8,4,40,20
112,Rockets,89,100,L,40.2,27.5,57.1,46,10,16,12,5,17,8,36,23
113,Jazz,100,89,W,43.6,34.5,78.6,62,9,21,7,5,19,13,48,21
114,Spurs,96,116,L,40.2,31.6,95.2,51,15,16,3,3,13,12,48,16
115,Pacers,116,96,W,52.9,53.1,87.5,44,5,34,9,5,10,17,46,22
116,Bucks,123,108,W,41,30.2,93.3,61,9,24,7,10,11,25,52,27
117,76ers,108,123,L,41.3,32.4,70,63,8,29,4,5,16,10,42,27
118,Suns,113,131,L,52.4,32.3,71.4,49,9,27,4,4,20,17,62,23
119,Lakers,131,113,W,52,35.7,73.9,51,11,34,13,5,8,27,68,19
120,Kings,97,92,W,42.2,33.3,63.6,67,15,19,7,5,17,20,54,15
121,Grizzlies,92,97,L,38.3,27,76.9,54,13,18,7,6,15,7,44,25
122,Warriors,144,122,W,57.6,45.5,92,55,10,37,6,5,18,45,52,22
123,Wizards,122,144,L,45.2,28.6,92.9,39,7,22,7,1,12,27,42,24
124,Pistons,110,103,W,52.6,39.3,58.6,65,13,21,4,5,20,9,48,21
125,Cavaliers,103,110,L,46.1,33.3,86.7,34,7,18,11,1,9,8,50,25
126,Magic,114,128,L,50,40,80,44,11,29,5,7,14,17,48,21
127,Trail Blazers,128,114,W,55.2,40.7,80.8,47,12,24,6,6,11,6,52,22
128,Thunder,95,101,L,39.4,25,56,70,16,19,5,6,16,10,42,27
129,Celtics,101,95,W,38.4,34.4,72.7,60,10,19,7,1,12,5,32,27
130,Lakers,121,114,W,50,34.5,82.6,50,9,27,13,3,14,20,64,19
131,Nuggets,114,121,L,50,26.1,80,50,10,22,8,5,19,16,74,22
132,Hornets,135,106,W,57,43.8,93.8,54,11,30,10,10,12,12,64,18
133,Bulls,106,135,L,43.5,44.4,72.7,41,8,21,5,7,14,4,40,16
134,Knicks,100,128,L,43.3,33.3,75,49,11,17,6,1,20,14,42,18
135,Warriors,128,100,W,58.6,48.5,83.3,43,6,26,10,6,14,16,48,16
136,Raptors,116,107,W,48.4,40.7,85,55,12,23,10,5,13,25,52,22
137,Mavericks,107,116,L,41.3,40,79.2,54,10,22,6,6,15,17,48,17
138,Rockets,113,133,L,38.8,36.6,88,49,16,21,11,7,13,12,40,27
139,Clippers,133,113,W,54.4,52.2,92.1,53,5,17,8,4,16,11,50,21
140,Timberwolves,95,125,L,32.1,23.3,72.2,59,17,19,10,6,8,7,42,15
141,Bucks,125,95,W,53.3,41.3,72.7,68,7,32,4,8,18,22,54,23
142,Pelicans,117,115,W,44.9,39.1,76.9,54,15,23,11,11,11,12,60,20
143,Nets,115,117,L,43.9,47.5,66.7,66,16,26,6,8,21,9,40,22
144,Kings,116,112,W,46.3,37.8,60.9,61,14,25,8,4,19,23,44,18
145,Wizards,112,116,L,46.5,33.3,78.3,50,5,22,8,7,21,14,40,27
146,Pistons,89,109,L,37.1,18.9,80,53,6,16,4,3,11,8,38,24
147,Celtics,109,89,W,45.3,41.2,68,62,8,25,4,8,13,15,40,26
148,Pelicans,111,132,L,42.1,26.5,75.9,56,11,22,4,5,16,8,52,32
149,Jazz,132,111,W,52.3,31.3,81.1,55,6,32,7,7,13,12,64,26
150,Hawks,85,97,L,32.1,30,82.6,52,11,20,9,8,22,11,22,13
151,Bulls,97,85,W,43.4,36.4,81.3,59,8,25,14,6,23,16,36,21
152,Cavaliers,107,119,L,46.5,28,90.9,45,16,21,9,2,18,6,44,20
153,Pacers,119,107,W,64.9,38.5,69.2,37,4,28,13,3,15,20,60,15
154,76ers,105,103,W,38.5,35.7,83.3,62,14,18,4,8,11,14,46,23
155,Hornets,103,105,L,38.9,25.7,83.3,61,9,19,3,8,9,9,42,25
156,Heat,120,111,W,45.8,38.5,65.4,66,16,21,7,8,13,15,48,21
157,Trail Blazers,111,120,L,42,36.4,89.3,49,8,14,7,8,9,4,32,25
158,Grizzlies,117,96,W,55.7,34.6,90.9,42,3,30,12,1,12,18,52,21
159,Suns,96,117,L,46.2,27.3,78.9,41,5,28,5,1,19,6,44,25
160,Bucks,113,91,W,50,33.3,91.3,61,6,24,6,7,21,10,54,19
161,Magic,91,113,L,32.7,23.3,88.2,52,11,21,9,6,11,12,30,22
162,Spurs,110,106,W,48.4,18.8,79.2,55,12,20,7,5,13,2,54,17
163,Lakers,106,110,L,47.7,39.4,61.1,49,7,19,5,5,17,17,38,25
164,Nets,114,120,L,48.3,47.6,66.7,47,5,28,5,3,15,2,38,20
165,Warriors,120,114,W,49.4,33.3,87.5,51,12,28,11,7,12,19,36,16
166,Mavericks,104,113,L,41.8,32.1,76,50,12,24,6,3,13,18,50,19
167,Jazz,113,104,W,52.5,40,86.4,50,8,25,8,6,18,16,52,27
168,Thunder,117,110,W,50.6,29.2,68.6,53,9,22,16,3,15,25,60,24
169,Suns,110,117,L,44.2,29.6,96.3,49,10,21,10,3,22,9,52,32
170,Clippers,136,104,W,54.4,55.2,61.5,62,14,35,7,9,15,27,68,25
171,Wizards,104,136,L,39.2,18.5,82.1,54,14,18,7,3,14,19,54,16
172,Pacers,93,103,L,41.1,31.6,65,49,7,19,8,5,9,19,32,20
173,Trail Blazers,103,93,W,48.7,38.5,94.4,52,9,19,3,3,18,12,40,23
174,76ers,113,92,W,41.4,29.8,94.4,71,16,33,7,9,19,18,50,22
175,Hawks,92,113,L,37.2,21.6,66.7,54,10,20,10,3,15,9,46,18
176,Heat,113,123,L,41.3,33.3,70.6,64,13,20,10,9,18,8,38,21
177,Kings,123,113,W,49.5,46.2,60,59,9,28,8,8,14,18,68,23
178,Knicks,115,96,W,48.9,37.5,88.9,68,16,21,5,3,16,7,50,21
179,Nets,96,115,L,40.5,28.9,77.3,36,11,22,6,7,10,0,40,20
180,Bulls,124,149,L,48.9,31.4,61.8,57,12,25,6,3,9,17,56,19
181,Warriors,149,124,W,55.2,53.3,73.1,54,8,34,9,7,7,16,40,29
182,Bucks,124,109,W,48.9,42.2,78.9,63,8,28,5,4,17,18,52,21
183,Raptors,109,124,L,37.9,20,78.6,58,15,25,9,7,10,11,48,19
184,Timberwolves,124,120,W,42.9,48.3,86.7,59,20,26,11,12,15,21,48,14
185,Lakers,120,124,L,47.1,36.4,66.7,61,17,24,8,8,18,15,66,24
186,Spurs,113,108,W,46.2,45,95.2,47,5,27,17,2,17,7,28,19
187,Mavericks,108,113,L,47.3,29.4,70.6,56,8,15,9,3,23,10,50,21
188,Nuggets,116,111,W,45.2,31.4,91.3,48,9,28,14,5,13,13,56,17
189,Pelicans,111,116,L,52.4,45.8,70,50,7,28,8,5,22,9,56,25
190,Hornets,125,113,W,54.3,46.4,82.8,51,8,27,7,5,14,17,48,26
191,Heat,113,125,L,47.1,39.3,83.3,41,10,25,9,5,15,5,56,26
192,Cavaliers,136,114,W,50,52,76.7,57,13,23,13,1,13,13,46,20
193,Hawks,114,136,L,53.7,42.9,64.7,42,6,25,6,8,23,17,54,29
194,Magic,99,107,L,39.6,25.6,72.7,57,11,28,10,8,17,10,42,22
195,Kings,107,99,W,48.8,36.4,65.4,56,8,22,8,6,15,17,44,20
196,Celtics,108,105,W,44,29,78.1,55,8,25,8,4,14,16,42,20
197,Pistons,105,108,L,42,26.7,85.2,54,11,17,6,3,17,10,50,28
198,Raptors,129,112,W,51.1,40.7,85.7,50,9,29,13,6,16,27,56,26
199,76ers,112,129,L,41.8,35,73.3,60,17,25,7,5,23,12,36,24
200,Rockets,85,104,L,32.3,23.3,56.5,56,20,18,7,9,12,8,38,25
201,Trail Blazers,104,85,W,47.5,40,87,64,7,17,4,4,20,12,48,19
202,Grizzlies,107,95,W,48.6,46.4,71,49,6,28,16,3,17,13,44,20
203,Wizards,95,107,L,43.2,40,85,43,5,24,9,7,20,18,30,22
204,Thunder,128,110,W,51.1,52.9,71.9,55,9,19,16,6,17,26,62,35
205,Clippers,110,128,L,47.3,35,76.7,49,6,18,6,7,25,24,52,26
206,Nets,120,119,W,42.6,31.6,73.3,63,18,26,5,3,16,2,62,33
207,Pistons,119,120,L,41.9,32.4,76.9,66,14,16,8,6,17,8,38,30
208,Knicks,101,107,L,43,48,87.5,45,9,18,6,6,17,3,32,19
209,Pacers,107,101,W,54.2,30,64.7,47,10,24,10,10,15,8,64,19
210,Bulls,107,108,L,42.4,47.1,72.2,54,10,27,7,6,14,23,40,23
211,Nuggets,108,107,W,45.5,26.9,61.1,65,17,24,7,9,16,12,62,16
212,Timberwolves,128,125,W,58.1,48,66.7,49,7,19,10,8,16,15,54,28
213,Jazz,125,128,L,48.5,43.3,60,57,20,25,9,5,14,8,64,22
214,Warriors,131,121,W,52.8,50,70,54,12,39,10,4,17,32,52,24
215,Pelicans,121,131,L,47.8,34.3,77.8,51,12,24,8,2,16,9,58,26
216,Lakers,114,113,W,51.2,58.8,75,46,8,23,12,6,20,21,54,27
217,Mavericks,113,114,L,50,44.8,73.7,49,10,24,5,5,23,18,60,24
218,Suns,90,120,L,38.9,25,77.8,44,7,21,10,3,15,22,52,26
219,Spurs,120,90,W,55.4,22.2,92.3,54,6,24,7,6,14,4,66,15
220,Hornets,107,111,L,40.9,26.8,90.9,64,11,26,7,3,18,31,46,26
221,Thunder,111,107,W,42.7,21.6,72.4,56,14,20,12,9,10,15,54,21
222,Cavaliers,91,110,L,41,27.8,94.7,44,13,18,11,4,14,8,50,22
223,Nuggets,110,91,W,48.2,38.5,85.7,53,14,22,8,7,12,16,48,18
224,76ers,122,113,W,47.3,48.1,75,52,10,29,7,7,16,21,44,30
225,Clippers,113,122,L,44.2,39.1,84.8,57,8,19,6,7,18,9,50,28
226,Hawks,115,146,L,48.3,25.8,67.6,55,10,26,6,6,22,27,66,28
227,Kings,146,115,W,54.1,40,81.3,52,10,38,14,3,14,38,70,29
228,Celtics,117,113,W,44.6,43.6,84.6,52,8,30,5,8,13,15,22,23
229,Bucks,113,117,L,48.2,31,73.3,53,8,20,8,3,14,16,62,20
230,Trail Blazers,132,119,W,50.6,51.4,83.9,56,8,26,4,4,14,16,38,30
231,Pelicans,119,132,L,42.6,27.6,83.8,52,14,23,7,3,13,6,62,24
232,Magic,95,120,L,44.4,23.5,57.9,47,8,20,7,4,10,9,40,24
233,Clippers,120,95,W,47.7,50,75.8,64,10,22,5,3,14,6,44,23
234,Nets,111,119,L,49.4,44.1,60,51,9,22,5,4,12,3,50,28
235,Rockets,119,111,W,49.4,38.5,68.8,52,11,22,4,10,9,9,46,21
236,Wizards,111,134,L,51.2,30,77.8,42,6,27,6,4,19,8,54,21
237,Thunder,134,111,W,57,46.9,80.8,46,7,34,13,5,13,10,48,20
238,Bulls,105,107,L,47.2,41.9,88.9,48,11,33,2,7,14,12,46,20
239,Pacers,107,105,W,47.1,26.9,90.9,47,9,21,8,9,11,16,50,13
240,Mavericks,106,118,L,49.4,37.9,62.5,49,11,22,6,1,19,12,50,28
241,Knicks,118,106,W,54.8,24.1,73.1,46,10,26,13,4,12,4,58,24
242,Jazz,100,110,L,46.8,38.9,56,54,10,21,3,5,14,13,32,25
243,Grizzlies,110,100,W,50.7,50,61.8,48,9,23,9,3,11,2,40,29
244,Suns,98,107,L,44,30.8,55.6,61,12,20,3,4,16,11,46,18
245,Raptors,107,98,W,50.6,36.4,61.9,46,6,29,11,10,14,26,50,23
246,Warriors,116,99,W,48.9,38.2,77.3,70,12,31,3,9,16,23,42,16
247,Timberwolves,99,116,L,37.6,28.9,71.4,47,8,25,8,4,5,7,38,16
248,76ers,109,99,W,40.6,31,86.3,52,3,21,11,3,18,10,30,31
249,Pistons,99,109,L,39.8,16.7,68.3,59,7,16,8,3,17,8,50,32
250,Hornets,126,94,W,57.1,33.3,92.3,55,12,29,3,7,15,21,70,17
251,Cavaliers,94,126,L,43.2,38.5,93.3,32,3,22,10,2,15,14,40,20
252,Pacers,102,101,W,41.9,34.4,76,58,8,23,10,2,13,14,36,16
253,Celtics,101,102,L,43.2,41.3,66.7,51,10,23,6,8,14,22,30,20
254,Hawks,123,118,W,52.3,40.6,78.3,48,8,33,11,7,18,15,44,21
255,Heat,118,123,L,48.2,40,76.9,49,13,27,6,6,18,16,42,20
256,Bulls,88,96,L,39.4,26.1,96.3,43,4,15,13,4,19,11,34,18
257,Rockets,96,88,W,42.2,31,65,56,10,21,13,5,19,11,28,22
258,Spurs,109,95,W,46.9,34.8,78.6,48,8,29,8,4,9,11,46,21
259,Pelicans,95,109,L,46.8,28.6,56.7,60,6,22,3,8,16,11,46,21
260,Nuggets,103,88,W,49.4,32.1,63.2,59,8,32,8,0,17,5,60,26
261,Jazz,88,103,L,40.7,19.4,66.7,46,10,22,12,7,13,9,52,21
262,Trail Blazers,110,114,L,42.3,17.1,72.7,56,16,20,10,5,14,19,64,21
263,Lakers,114,110,W,52.3,38.1,64,60,9,20,9,11,20,17,62,22
264,Bucks,144,109,W,48.4,39.3,90.9,64,10,30,6,7,13,20,46,20
265,Kings,109,144,L,44.2,38.9,50,52,8,24,6,4,15,19,42,26
266,Nets,122,97,W,47.6,32.1,72.2,48,15,27,11,3,9,16,70,28
267,76ers,97,122,L,47.7,20,75.6,56,9,16,6,1,28,8,40,21
268,Wizards,108,95,W,43.4,23.1,76.9,53,15,21,12,11,13,13,50,18
269,Knicks,95,108,L,41.9,18.5,75,61,15,19,5,5,20,13,52,28
270,Spurs,110,117,L,43.2,34.3,88,51,10,25,3,5,11,1,22,21
271,Magic,117,110,W,50.5,37.5,72.2,52,11,29,7,4,9,18,48,22
272,Suns,102,100,W,51.6,43.8,84.6,46,5,25,7,3,25,3,26,27
273,Grizzlies,100,102,L,47.4,30.4,72.4,37,9,19,13,3,13,19,54,21
274,Trail Blazers,111,81,W,44.2,25,87.5,73,17,15,7,1,17,13,52,20
275,Timberwolves,81,111,L,31.2,23.3,76.2,48,13,18,9,4,11,14,40,21
276,Lakers,107,121,L,45.9,25,79.3,48,6,25,6,4,16,20,52,18
277,Raptors,121,107,W,50,28.6,92.9,54,13,32,9,4,13,24,70,24
278,Pistons,115,120,L,41,31.4,64.3,72,21,27,8,3,19,10,48,30
279,Heat,120,115,W,44.9,38.7,64.5,65,9,24,10,8,17,15,52,26
280,Pacers,94,98,L,44,28.6,66.7,51,7,17,8,3,16,8,42,15
281,Rockets,98,94,W,44.7,31.9,93.8,44,5,23,9,6,17,8,34,24
282,Magic,102,100,W,44.8,32.4,86.7,46,10,22,11,5,15,21,36,16
283,Cavaliers,100,102,L,51.2,43.5,66.7,47,8,20,8,2,18,11,44,17
284,Knicks,115,116,L,38.7,26.9,89.7,68,21,20,7,6,18,11,56,27
285,Bulls,116,115,W,45.3,26.7,73.3,60,11,15,9,9,19,4,64,22
286,Thunder,122,116,W,48.4,37,71,53,9,26,15,3,12,18,64,23
287,Pelicans,116,122,L,48.8,31,83.3,52,11,27,8,5,21,9,54,26
288,Nuggets,115,107,W,45.6,38.2,71.4,59,15,25,5,4,13,9,42,14
289,Celtics,107,115,L,50.6,29,83.3,43,7,22,9,9,12,13,50,21
290,Jazz,111,124,L,44.2,25.8,65.9,56,12,29,10,4,12,17,56,19
291,Raptors,124,111,W,57,39.4,92.9,44,7,21,9,3,15,22,58,28
292,Warriors,117,101,W,50.6,54.2,95.7,51,8,29,4,4,13,15,36,25
293,Grizzlies,101,117,L,45.8,33.3,76.2,40,4,31,8,8,10,13,50,19
294,Clippers,120,109,W,48.9,45.2,90.9,49,13,30,5,4,12,5,48,27
295,Timberwolves,109,120,L,47.1,23.8,80,49,8,20,9,8,11,21,58,23
296,Hornets,113,102,W,48.9,41.9,55.6,60,8,27,9,4,21,5,56,16
297,Hawks,102,113,L,48.2,20,77.8,43,7,22,13,9,22,10,56,18
298,Mavericks,119,100,W,47.6,44.1,96.3,56,10,25,4,6,18,17,38,22
299,Wizards,100,119,L,42.5,31.4,75,43,5,27,8,6,10,16,34,24
300,Suns,82,104,L,34.6,36,85,56,9,16,4,3,20,10,30,20
301,Nets,104,82,W,44.6,25,68.4,57,13,22,9,5,10,21,54,22
302,Trail Blazers,118,103,W,52.7,39.5,62.5,52,11,23,7,3,12,7,30,17
303,Bucks,103,118,L,43.5,38.1,87.5,47,12,26,2,1,12,14,46,16
304,Cavaliers,86,95,L,37.1,29,84.6,57,12,17,3,4,20,13,42,26
305,Thunder,95,86,W,41.7,25.9,69.2,58,7,10,13,9,12,12,46,23
306,Magic,96,103,L,46,33.3,77.8,47,6,28,10,8,21,13,48,19
307,Pistons,103,96,W,41.1,29.7,90,57,13,21,13,1,20,22,50,15
308,Hawks,107,112,L,40.2,28.9,75.9,54,15,26,5,9,17,14,52,30
309,Knicks,112,107,W,44.2,36.7,70.2,65,11,15,8,7,18,12,28,30
310,Heat,95,88,W,38.7,31.3,72.2,69,14,21,8,11,13,5,46,17
311,Spurs,88,95,L,33,40.6,92.9,57,12,19,8,5,12,11,24,19
312,Pacers,94,100,L,39.4,25.8,70.6,56,8,19,9,6,12,14,46,21
313,76ers,100,94,W,45.6,31.3,81.8,53,5,24,7,8,17,19,46,18
314,Grizzlies,89,87,W,42.9,38.1,84,47,8,19,7,7,18,10,42,22
315,Nuggets,87,89,L,39,25,78.9,51,13,19,9,3,19,17,42,22
316,Pelicans,107,98,W,44.7,36.7,70.6,60,11,32,5,10,15,13,50,18
317,Bulls,98,107,L,39.6,29,76.5,59,7,18,9,7,12,16,42,16
318,Jazz,117,102,W,48.3,35.1,69.2,46,8,31,12,10,12,5,50,32
319,Mavericks,102,117,L,39.7,33.3,90,56,12,14,3,4,25,8,30,27
320,Kings,105,114,L,47.7,34.8,72.2,41,6,27,10,5,15,21,50,26
321,Raptors,114,105,W,46.1,30.6,91.3,60,13,17,10,4,22,14,48,20
322,Lakers,114,110,W,48.4,44.1,78.6,54,12,32,6,4,16,24,46,14
323,Timberwolves,110,114,L,45.1,50,88.9,47,11,22,10,5,16,13,34,17
324,Thunder,98,80,W,44.4,24.3,70.8,61,13,18,10,4,15,7,42,16
325,Rockets,80,98,L,37.8,26.2,70,45,12,16,9,3,17,11,38,26
326,Suns,109,116,L,44.1,31.4,84.2,50,4,25,10,6,15,11,44,23
327,Celtics,116,109,W,40.2,37.8,77.4,70,17,21,6,6,16,16,46,18
